sep=;
Change-Id=Iaf0320eac6c163d015aec4b20450a031155a1457; subject=IB/core: Add device memory core infastructure; feature=memic; upstream_status=NA; general=;
Change-Id=I1d7ffa65b1515e2653ac8c2762feab913d6d35c1; subject=IB/uverbs: Add device memory support; feature=memic; upstream_status=NA; general=;
Change-Id=I16fd08d7aea355389e3ccf31d1955a1c7797e87e; subject=IB/core: Change provider's API of exp_reg_user_mr; feature=memic; upstream_status=NA; general=;
Change-Id=Ic319226b58898a9f0feaa1067aebdb5ff17f8cc1; subject=IB/uverbs: Add device memory mr registration via exp_reg_mr; feature=memic; upstream_status=NA; general=;
Change-Id=Ibff05de116fc6c3e8fa8235f6d9eb30efda5f397; subject=IB/core: Adding exp_alloc_mr with dm mr type support; feature=memic; upstream_status=NA; general=;
Change-Id=I2a806d27344fda9af6194c4a562c2f8b0185ab2d; subject=net/mlx5: Add MEMIC support; feature=memic; upstream_status=NA; general=;
Change-Id=Ibfe07890d55ca0584a7d63dfc3149252ed6e0ce8; subject=IB/mlx5: Add mlx5 support for device memory allocation; feature=memic; upstream_status=NA; general=;
Change-Id=I4424c31a97411c713f5a25ef0f3560000e1578cd; subject=IB/mlx5: exp_alloc_mr support in mlx5_ib; feature=memic; upstream_status=NA; general=;
Change-Id=I70119395c1febee85eccbbc674bdf0862884d952; subject=IB/mlx5: Align user's requested dm size to HW demands; feature=memic; upstream_status=NA; general=;
Change-Id=I870b2863c8fca18facc1767907c261027471a0ad; subject=net/mlx5: Add new phy counter sysfs group; feature=phy_stats_sysfs; upstream_status=NA; general=;
Change-Id=I87bf1d738bb2a180f93ea067e96b3c32d5c797d8; subject=net/mlx5_core: Execute FW command outside of memic bitmap locking; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I2cf76074ceba87de2b1dde6ff428fc4169025849; subject=IB/mlx5: Device memory code rebase adjustment; feature=memic; upstream_status=NA; general=;
Change-Id=I9d21bda3324476e313de288168b7d3ef16b79e47; subject=IB/uverbs: Expand DM MR boundries check; feature=memic; upstream_status=NA; general=;
Change-Id=I3293234f26e712c7f9bc5e0630f5cf9c251820d0; subject=IB/uverbs: Align uverbs DM related commands; feature=memic; upstream_status=NA; general=;
Change-Id=Id40bb72ba622bb68d81019d38e45b5b5b8876b15; subject=IB/mlx5: Support device memory type attribute; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I0eddfdb605cf141cacf0baecc393c935fd91f48f; subject=net/mlx5: Expose steering SW ICM capabilities; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I4bedc817b2cfc2db2b7e84074efa0ef74d46e6ca; subject=IB/mlx5: Add SW steering SW ICM device memory type; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I89e544b64c4f1359787125e5789e7bd08424c4ca; subject=net/mlx5: Expose TIR outbox to caller; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=Ib8cefb5d28edf016e091214f9b99689e9685ee42; subject=IB/mlx5: Expose TIR ICM address to user space; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I7f47ea5de0b5d25955f75b9d9ea4e300c9409930; subject=IB/mlx5: Expose header modify SW ICM capabilities; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I22165af343662cc353f006ccc91a7a02c5250908; subject=IB/mlx5: Add header modify SW ICM device memory type; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=Idb6d82dbb412eddb25a45cdeafb472213d3388a8; subject=net/mlx5: expose sysfs to force local loopback disablement; feature=disable_local_lb; upstream_status=NA; general=;
Change-Id=I6f5ac68bac12f15915be914be6fc059cb12e660d; subject=IB/mlx5: Dynamic allocation of the SW ICM bitmaps; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I529159383a2ae6997e2f759c947ac92b8b5e3b0d; subject=IB/mlx5: Save actual memic allocated size in the mlx5 object; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I4fdaec70e3c6396f671a7d8e638f1ddaf10ce2c6; subject=IB/mlx5: Resume support for mapping clock info via exp verbs; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I6aedd69fa99c4e080194de26718a3bf05ebf81b7; subject=IB/mlx5: Fix SW ICM bitmaps size calculation; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I26a44bdae6af27222b061917aea473269fea45ed; subject=net/mlx5: Prevent ALLOC_MEMIC command error prints; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=I55abe373fc5bb2930e1145e7746e033d536efd83; subject=net/mlx5: Eswitch, Rate limiting per VF group; feature=vf_group_rate_limit; upstream_status=in_progress; general=;
Change-Id=I501fb65cde2be01bd2356da26d36622534fb4a03; subject=IB/mlx5: Device memory code adjustments; feature=sw_icm; upstream_status=in_progress; general=;
Change-Id=I74d3edfd1052273053b2ce020760132a4036227a; subject=IB/mlx5: Device resource control for privileged DEVX user; feature=sw_icm; upstream_status=in_progress; general=;
