sep=;
Change-Id=I2daa634c8de9703d3fd1d44dbcf2d451c4ff1ddc; subject=net/mlx4_core: Set EQ affinity hint to local NUMA CPUs; feature=rebase; upstream_status=in_progress; general=;
Change-Id=I5d006b0bf69eae367875c31b79a333b957ff2bc6; subject=net/mlx4_core: Extend module parameter handling; feature=mlx4_module_params; upstream_status=NA; general=;
Change-Id=I66a2d9ad3985be6b823f8f3e2487761f0cd7624a; subject={net,IB}/mlx4: Initialize CQ buffers in the driver when possible.; feature=mlx4_sw_cq_init; upstream_status=in_progress; general=;
Change-Id=Id84b692afd40e5930cdeb1aa47f234b7f8eb1d20; subject=IB/mlx4: Add dev_assign_str module param; feature=mlx4_dev_assign_str; upstream_status=NA; general=;
Change-Id=I8c678617b49574cb5f11ac37febe1fe1a9e8aaad; subject=IB/mlx4: Allow work in different RoCE modes; feature=mlx4_rocev2; upstream_status=NA; general=;
Change-Id=I2ff9268b638e35a4eb7cb9248284b1ce7ab0b0f4; subject=net/mlx4: Add deprecated module parameters; feature=mlx4_core_bugs; upstream_status=NA; general=;
Change-Id=I1bc9a34f7c9ba0ffb9c73170cc88251efce7d3cf; subject=net/mlx5: Don't overrun EQ count when creating CQs; feature=set_cpu_eeh; upstream_status=ignore; general=;
Change-Id=I839df8e9ac7a1208d703463ea57f8a97110593a5; subject=net/mlx5: Save PCI state after driver init; feature=mlx5_eeh_save_pci_state; upstream_status=in_progress; general=;
Change-Id=Ifdfbab5c6038b71e134f62eafee35005e413b97b; subject=net/mlx5: Increase wait time for fw initialization; feature=wait_for_vf_flr; upstream_status=in_progress; general=;
Change-Id=I5ff18bcaa89d6ede5e3686c5a0a95377e2e2b371; subject=IB/ipoib: Don't rely on netdev reg_state for synchronization; feature=ipoib_bugs; upstream_status=in_progress; general=;
Change-Id=Id65bffc7b6195caeed4ae9014ebd9ddbcd9997e5; subject=net/mlx4: Add linux/prefetch.h include in en_rx.c; feature=mlx4_en_bugs; upstream_status=in_progress; general=;
Change-Id=I12cbd31d408a96bb535412d17bb39a1a66d86c46; subject=net/mlx5: Don't create inner tirs if in ENCAP mode; feature=bf_compat; upstream_status=ignore; general=;
Change-Id=I134ec637080ef38be0a6e5e3cadc956b36f16ea1; subject=net/mlx5: Enable vfs sysfs when not eswitch_manager; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I11f01ce3f8d818a63815b95d45b1fc6864984515; subject=net/mlx5: Implement get/show settings ethtool ops for reps; feature=mlx5_core_bugs; upstream_status=in_progress; general=;
Change-Id=Icc0f2c7900840b5bf3b9fb614b5bb8bb3d25d7c4; subject=net/mlx5: When fetching CQEs return a CQE pointer instead of void; feature=cqe_padding; upstream_status=accepted; general=;
Change-Id=I70cd0ad4ad66e2582b86f92a42b2552f36a6e113; subject=net/mlx5e: Use CQE padding for Ethernet CQs; feature=cqe_padding; upstream_status=accepted; general=upstream commit ID: 939de57d3034, tag: v5.0-rc1;
Change-Id=Iaffafa25ef3de39374a73e5a75611f8c189d89b3; subject=net/mlx5: Use eswitch manager vport for roce steering; feature=mlx5_core_bugs; upstream_status=in_progress; general=;
