sep=;
Change-Id=Icb679f191b7768901b756d6c6c1f79488c6818f9; subject=net/mlx5e: Don't match on vlan non-existence if ethertype is wildcarded; feature=rebase; upstream_status=accepted; general=upstream commit ID: d3a80bb5a3ea, tag: v4.20-rc4;
Change-Id=Iee9c111e12c3d03e101337c933bf6e89949c1b48; subject=net/mlx5e: Claim TC hw offloads support only under a proper build config; feature=rebase; upstream_status=accepted; general=upstream commit ID: 077ecd785d90, tag: v4.20-rc4;
Change-Id=I733cf4d42441d8094f18c2f43c65c8a638da6b01; subject=net/mlx5e: Always use the match level enum when parsing TC rule match; feature=rebase; upstream_status=accepted; general=upstream commit ID: 83621b7df6a6, tag: v4.20-rc4;
Change-Id=I7cbfee0d9589711a091be775cac74a15904fa18c; subject=net/mlx5e: Err if asked to mirror a goto chain tc eswitch rule; feature=rebase; upstream_status=accepted; general=upstream commit ID: e88afe759a49, tag: v4.20;
Change-Id=I61a07a734604784f20fbfb6fa62feb0b405407f2; subject=net/mlx5e: Avoid overriding the user provided priority for offloaded tc rules; feature=rebase; upstream_status=accepted; general=upstream commit ID: d14f6f2a8432, tag: v4.20;
Change-Id=Ib46c3bca1fd002c0480b923a17707936d9bfd08a; subject=net/mlx5e: Properly initialize flow attributes for slow path eswitch rule deletion; feature=rebase; upstream_status=accepted; general=upstream commit ID: 154e62abe9cd, tag: v4.20;
Change-Id=Ic22e9b3d007f1aecdfafa0d4bfd31255ece765f3; subject=net/mlx5e: Avoid encap flows deletion attempt the 1st time a neigh is resolved; feature=rebase; upstream_status=accepted; general=upstream commit ID: 61c806dafe81, tag: v4.20;
Change-Id=I67c81f3999c9edda6591c5a85e31e54b0366db9e; subject=net/mlx5: Remove the get protocol device interface entry; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Ie9f79be188b0b06304ae13907f7e843eff1972ea; subject=net/mlx5: E-Switch, Remove redundant reloading of the IB interface; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Ic7e02c5a8a2fdd2a0f143280ee9942405f67207a; subject=net/mlx5e: Use single argument for the esw representor build params helper; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=I1bba94dbf99c91da31cfc95795039574329ca172; subject=net/mlx5e: Use dedicated uplink vport netdev representor; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Iadbfe5922846c7ad44da7d712f235d4a9f057dcc; subject=net/mlx5e: Remove leftover code from the PF netdev being uplink rep; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Idc582af49a29126a605577c085349f151f68a9a8; subject=net/mlx5e: Uninstantiate esw manager vport netdev on switchdev mode; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=I26802584d2831ea814ae4dd5ab38f8a5592963df; subject=net/mlx5e: Handle port mtu/link, dcb and lag for uplink reps; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
