sep=;
Change-Id=Idde6c0080bdcd3206f49d9335b9baaa342611895; subject=IB/core: Enable out of order data placement; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I2f2511066c85fd9570d80cbf6c52ff9a2146b438; subject=IB/uverbs: Define additional mask for out of order QP attribute; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I8bf3475e85194e5a02b00ab35496c64d69ad7195; subject=IB/mlx5: Enable provider driver for out of order capability; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I5b82de025824e5bf24d26d1246608e47da8f2b8a; subject=IB/core: Make ib_nl_ip_send_msg() non blocking; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=Ic162601fa5bbce864d1ae05f5fe17fd93a25ffad; subject=IB/core: Introduce rdma_is_gid_attr_valid() to check GID attribute; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=Ib3f31f528fa14e2e054faccc6b8be7a4c1f0cffa; subject=RDMA/core: Validate net ns of RoCE gid and gid attribute sysfs entries; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I174b2c0f35f278f0c98d850097f3804c0e390011; subject=IB/core: Validate net ns of RoCE gid during destination resolve; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I5f6c84b4339ff03c99f3b87ddce809f4e4577518; subject=IB/ipoib: Allow setting mac address for the VF; feature=ipoib_bugs; upstream_status=NA; general=;
Change-Id=Ic19e21c74a42ef56688246065bc15dc095011cec; subject=RDMA/core: Add GIDs while changing MAC addr only for registered ndev; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: d52ef88a9f4b, tag: v4.20-rc7;
Change-Id=Id6827134fc20c90b7c45eaafdf6dcef224474e8b; subject=RDMA/core: Sync unregistration with netlink commands; feature=mlx5_advise_mr; upstream_status=accepted; general=upstream commit ID: 01b671170d7f, tag: v5.0-rc1;
Change-Id=I951aaeeabc0a966a17d129d37b40958fa39ef487; subject=RDMA/core: Rescan netdev to add IP based GIDs; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I276b31d7989bbc3a865e28449ea4db7efd713f6e; subject=RDMA/core: Delete RoCE GID in hw when corresponding IP is deleted; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: be5914c124bc, tag: v5.0-rc1;
Change-Id=Id679a304e324974322d3870cff310ea6d55da86e; subject=ibdev2netdev: Revert ibdev2netdev: Improve script for dual port RoCE; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Id08a5d889c6246bacf0cd00a526238427acd7aa2; subject=IB/cm: Reduce dependency on gid attribute ndev check; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: 8f9748602491, tag: v5.2-rc1;
Change-Id=I5815757b1228d0b4aea5ee05f940f7180f7fa14c; subject=RDMA: Introduce and use GID attr helper to read RoCE L2 fields; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: a70c07397fd8, tag: v5.2-rc1;
Change-Id=I05d88d2d7fb7918ea87ed5a2e12346431d187544; subject=RDMA/cma: Use rdma_read_gid_attr_ndev_rcu to access netdev; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: adb4a57a7a1d, tag: v5.2-rc1;
Change-Id=I6b23b9ffb8674a3a97a3ea4ed2904a7ee892234f; subject=RDMA/core: Allow detaching gid attribute netdevice for RoCE; feature=ib_core_bugs; upstream_status=accepted; general=upstream commit ID: 943bd984b108, tag: v5.2-rc1;
Change-Id=I44cc764251d2a807b45b1fbd31322f3002c7adb5; subject=BACKPORTS: mlx5/main.c core/addr.c core/cache.c; feature=backports; upstream_status=ignore; general=;
Change-Id=I3955098d099c1e48dd3bd7923f3e6cb6662b7247; subject=IB/core: Introduce and honor bond_device flag; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I6f769128b981e4e784b582f69d3b038de6cc3553; subject=IB/mlx5: Expose rdma bond device; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I30827f1199218ab02ce64d9879d7d723a513bab9; subject=IB/mlx4: Expose rdma bond device; feature=ib_core_bugs; upstream_status=NA; general=;
