sep=;
Change-Id=I8ec7b89d7e23170c682972b5d1a15b0bafc10f81; subject=net/mlx5: Split the activate lag function into two routines; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 8252cf728ce2, tag: v5.0-rc1;
Change-Id=I3bd732a40228bfdf13ef8dae86b2ed7d5e0154d5; subject=net/mlx5: Add lag function to get peer mdev; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=I4f5dea6862cf3afc7f8afd0ce4777022dbea750b; subject=net/mlx5: Add lag function to get peer netdev; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=Ib8c6d703d0f007d61f112e5362813d3916a6cc3d; subject=net/mlx5: Add lag affinity info to log; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 3cfe432e1b3a, tag: v5.0-rc1;
Change-Id=I19990df3bba51f1881b056810166bd05eb8809c1; subject=net/mlx5e: E-Switch, Add peer miss rules; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: ac004b832128, tag: v5.0-rc1;
Change-Id=I2328cd1c357033f78aa9ecb2e9a33dc1ddc0331b; subject=net/mlx5e: Infrastructure for duplicated offloading of TC flows; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 04de7dda7394, tag: v5.0-rc1;
Change-Id=Icf13ee04820bb946a71f0d1ab32fb2128fc1597d; subject=net/mlx5e: Apply the correct check for supporting TC esw rules split; feature=rebase; upstream_status=accepted; general=upstream commit ID: 1392f44bba22, tag: v4.20-rc4;
Change-Id=I9b95f5763b60fe2f6652bafa7580cd5fbc8cbb83; subject=net/mlx5: Use unsigned int bit instead of bool as a struct member; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: bb19ad0d8d49, tag: v5.1-rc1;
Change-Id=Ib9783f83dc4035ec591e26b822bfa45dd132666c; subject=net/mlx5: Expose lag operations in header file; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 10a193ed78ad, tag: v5.1-rc1;
Change-Id=I373d92eb9835bc4de45db0d19e712904b1becea3; subject=net/mlx5: Use own workqueue for lag netdev events processing; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: e6ee5e716627, tag: v5.1-rc1;
Change-Id=I4d5043c964738e3ad4d41f620e977635da9e2b32; subject=net/mlx5: Add multipath mode; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 724b509ca023, tag: v5.1-rc1;
Change-Id=I168abbe9c2a5ed6519a3e99752bd65376e33c5d1; subject=net/mlx5e: Activate HW multipath and handle port affinity based on FIB events; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 544fe7c2e654, tag: v5.1-rc1;
Change-Id=If051ea9b7690e2a4dcc935c9792c2bcce417a2ef; subject=net/mlx5e: Allow one failure when offloading tc encap rules under multipath; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: ef06c9ee8933, tag: v5.1-rc1;
Change-Id=I5ca3bc4731404e41919a8facecd4b61fcb08abe1; subject=net/mlx5e: Always query offloaded tc peer rule counter; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 316d5f72b4c1, tag: v5.1-rc1;
Change-Id=I39f1507f607239581afb075266a2541d3c710517; subject=net/mlx5e: Use hint to resolve route when in HW multipath mode; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 5fb091e8130b, tag: v5.1-rc1;
