sep=;
Change-Id=I58eab1beb9b9a1a425a484007aa4dfd46cc57ab9; subject=IB/core: Introduce signature pipelining API; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Id46219e25ed66156f1301065aac7118e3ee97a08; subject=IB/mlx5: Add IB_QP_CREATE_SIGNATURE_PIPELINE support; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Ifc54f8fd18d580609afddfcc4d5e332fba2ac1f1; subject=IB/mlx5: Add IB_SEND_SIG_PIPELINED support; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=If2b30fa7b95a0379ec6c2a3f20642c749d0e2c54; subject=mlx5: Implement the SQD2RTS command for QP; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=If525f904f97d3685ff62f17456530a1a12b84b42; subject=IB/mlx5: Handle SIGERR SQD event; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I40715d0393e58e20b491769da808fa261dd6b50f; subject=IB/mlx5: Update a status for the canceled WR; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I27b8d6790e809884ece0f23765b1e30ae43ac50a; subject=mlx5: Expose the signature pipeline feature; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I02e5c30745f78942c68b32dbeb4a3dddec9d3183; subject=IB/isert: Add sig_pipeline flag for isert_conn; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=I503ba12eabdbb3dcf58ea5979e4b4f49f5bbf542; subject=IB/isert: Split the isert_init_send_wr function; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Ib96820d320a5d11bb4562cf6fb511ec51945c321; subject=IB/isert: Use the signature pipeline feature; feature=signature_pipeline; upstream_status=NA; general=;
Change-Id=Ib98d8ab5abd3b232484990c4da49af9e5a70bf1e; subject=RDMA: Fix compatibility with Lustre; feature=lustre_support; upstream_status=NA; general=;
Change-Id=Ia74a3461fc098843d13369d3f94693f085c70811; subject=IB/cm: Make the cm_calc_udp_sport function static; feature=udp_sport; upstream_status=in_progress; general=;
Change-Id=I0b1e5d87720211002662ebb0da3f1c83eeb77c90; subject=BACKPORTS: Add srp backports; feature=backports; upstream_status=ignore; general=;
Change-Id=Idf56391dd1c4f21ddf1d0924fbc82435df2f6a1d; subject=BACKPORTS: Add iser backports; feature=backports; upstream_status=ignore; general=;
Change-Id=I2ce9dc2ab11c8fddb917c4e2f51b49bf76fbd7a7; subject=BACKPORTS: Add isert backports; feature=backports; upstream_status=ignore; general=;
Change-Id=I64c3e02f874143a532ea407c60ab65b33bf74e4f; subject=BACKPORTS: Fix compilation warning in ib_srp; feature=backports; upstream_status=ignore; general=;
Change-Id=I26e6837fa9e806add4c6d13164fa6b7fd22954f2; subject=IB/mlx5: Fix use-after-free in dereg_mr() function; feature=mlx5_ib_bugs; upstream_status=NA; general=;
Change-Id=I49370a9a04ebf4cf2f7fa62785496f76bcc5b5eb; subject=BACKPORTS: Avoid excessive use of bounce buffers in ib_iser; feature=backports; upstream_status=ignore; general=;
